Team,Year,Round of 64,64WL,64PD,Round of 32,32WL,32PD,Sweet 16,16WL,16PD,Elite 8,8WL,8PD,Final 4,4WL,4PD,Championship,2WL
LSU,2019,Yale,1,5,Maryland,1,2,Michigan St.,0,NA,NA,NA,NA ,NA ,NA ,NA ,NA ,NA 
Yale,2019,LSU,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Virginia Tech,2019,Saint Louis,1,14,Liberty,1,9,Duke ,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Saint Louis,2019,Virginia Tech,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Liberty,2019,Mississippi St. ,1,4,Virginia Tech,0,NA,NA,NA,NA,NA ,NA ,NA,NA,NA,NA,NA,NA
Mississippi St.,2019,Liberty,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Maryland,2019,Belmont,1,2,LSU,0,NA ,NA ,NA ,NA ,NA ,NA ,NA,NA,NA,NA,NA,NA
Belmont,2019,Maryland,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Minnesota,2019,Louisville,1,10,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Louisville,2019,Minnesota,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
UCF,2019,VCU,1,15,Duke ,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCU,2019,UCF,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Gonzaga,2019,Fairleigh Dickinson,1,38,Baylor,1,12,Florida St.,1,14,Texas Tech,0,NA ,NA ,NA ,NA ,NA ,NA 
Fairleigh Dickinson,2019,Gonzaga,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Michigan,2019,Montana,1,19,Florida,1,15,Texas Tech,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Montana,2019,Michigan,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Texas Tech,2019,Northern Kentucky,1,15,Buffalo,1,20,Michigan,1,19,Gonzaga,1,6,Gonzaga,1,6,Virginia,0
Northern Kentucky,2019,Texas Tech,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Florida St.,2019,Vermont,1,7,Murray St.,1,28,Gonzaga,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Vermont,2019,Florida St.,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Murray St.,2019,Marquette,1,19,Florida St.,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Marquette,2019,Murray St.,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Buffalo,2019,Arizona St.,1,17,Texas Tech,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Arizona St.,2019,Buffalo,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Florida,2019,Nevada,1,9,Michigan,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Nevada,2019,Florida,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Baylor,2019,Syracuse,1,9,Gonzaga,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Syracuse,2019,Baylor,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Virginia,2019,Gardner Webb,1,15,Oklahoma,1,12,Oregon,1,4,Purdue,1,5,Auburn,1,1,Texas Tech,1
Gardner Webb,2019,Virginia,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Tennessee,2019,Colgate,1,7,Iowa,1,6,Purdue,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Colgate,2019,Tennessee,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Purdue,2019,Old Dominion,1,13,Villanova,1,16,Tennessee,1,5,Virginia,0,NA ,NA ,NA ,NA ,NA ,NA 
Old Dominion,2019,Purdue,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
UC Irvine,2019,Kansas St.,1,6,Oregon,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Kansas St.,2019,UC Irvine,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Oregon,2019,Wisconson,1,18,UC Irvine,1,19,Virginia,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Wisconson ,2019,Oregon ,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Villanova,2019,Saint Mary's,1,4,Purdue,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Saint Mary's,2019,Villanova,0,NA,NA ,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Iowa,2019,Temple,1,7,Tennessee,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Temple,2019,Iowa,0,NA,NA ,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Oklahoma,2019,Mississippi,1,23,Virginia,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Mississippi,2019,Oklahoma,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
North Carolina,2019,Iona,1,15,Washington,1,22,Auburn,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Iona,2019,North Carolina,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Kentucky,2019,Abilene Christian,1,35,Wofford,1,6,Houston,1,4,Auburn,0,NA ,NA ,NA ,NA ,NA ,NA 
Abilene Christian,2019,Kentucky,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Houston,2019,Georgia St.,1,29,Ohio St.,1,15,Kentucky,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Georgia St. ,2019,Houston,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Kansas,2019,Northeastern,1,34,Auburn,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Northeastern,2019,Kansas,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Auburn,2019,New Mexico St.,1,1,Kansas,1,14,Kansas,1,14,Kentucky,1,6,Virgina,0,NA ,NA ,NA 
New Mexico St.,2019,Auburn,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Ohio St.,2019,Iowa St.,1,3,Houston,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Iowa St.,2019,Ohio St.,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Wofford,2019,Seton Hall,1,16,Kentucky,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Seton Hall,2019,Wofford,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Washington,2019,Utah St.,1,17,North Carolina,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Utah St.,2019,Washington,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Michigan St.,2019,Bradley,1,11,Minnesota,1,20,LSU,1,17,Duke,1,1,Texas Tech,0,NA ,NA ,NA 
Bradley,2019,Michigan St.,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
