Team,Year,Round of 64,64WL,64PD,Round of 32,32WL,32PD,Sweet 16,16WL,16PD,Elite 8,8WL,8PD,Final 4,4WL,4PD,Championship,2WL
Stephen F. Austin,2016,West Virginia,1,14,Notre Dame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2016,Pittsburghsburgh,1,4,Xavier,1,3,Notre Dame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pittsburghsburgh,2016,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier,2016,Weber St.,1,18,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weber St.,2016,Xavier,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2016,Holy Cross,1,39,Saint Joseph's,1,5,Duke,1,14,Oklahoma,0,NA,NA,NA,NA,NA,NA
Holy Cross,2016,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Joseph's,2016,Cincinnati,1,2,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2016,Saint Josephs,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylor,2016,Yale,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yale,2016,Baylor,1,4,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duke,2016,UNC Wilmington,1,8,Yale,1,7,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNC Wilmington,2016,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,2016,Northern Iowa,1,3,Texas A&M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Iowa,2016,Texas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas A&M,2016,Green Bay,1,27,Northern Iowa,1,4,Oklahoma,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Green Bay,2016,Texas A&M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon St.,2016,VCU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCU,2016,Oregon St.,1,8,Oklahoma,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,2016,Cal St. Bakersfield,1,24,VCU,1,4,Texas A&M,1,7,Oregon,1,12,Villanova,0,NA,NA,NA
Cal St. Bakersfield,2016,Oklahoma,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,2016,Hampton,1,36,Butler,1,8,Iowa St.,1,13,Syracuse,0,NA,NA,NA,NA,NA,NA
Hampton,2016,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Tech,2016,Butler,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butler,2016,Texas Tech,1,10,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purdue,2016,Little Rock,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Little Rock,2016,Purdue,1,2,Iowa St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa St.,2016,Iona,1,13,Little Rock,1,17,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iona,2016,Iowa St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seton Hall,2016,Gonzaga,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga,2016,Seton Hall,1,16,Utah,1,23,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah,2016,Fresno St.,1,11,Gonzaga,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fresno St.,2016,Utah,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dayton ,2016,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syracuse,2016,Dayton,1,19,Middle Tennessee,1,15,Gonzaga,1,3,Virginia,1,6,North Carolina,0,NA,NA,NA
Michigan St.,2016,Middle Tennessee,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tennessee,2016,Michigan St.,1,9,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Villanova,2017,Mount St. Mary's,1,20,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount St. Mary's,2017,Villanova,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2017,Virginia Tech,1,10,Villanova,1,3,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia Tech,2017,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,2017,UNCW,1,5,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNC Wilmington,2017,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2017,East Tennessee St.,1,15,Virginia,1,16,Wisconsin,1,1,South Carolina,0,NA,NA,NA,NA,NA,NA
East Tennessee St.,2017,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMU,2017,Southern California,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USC,2017,SMU,1,1,Baylor,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baylor,2017,New Mexico St.,1,18,USC,1,4,South Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico St.,2017,Baylor,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,2017,Marquette,1,20,Duke,1,7,Baylor,1,20,Florida,1,7,Gonzaga,0,NA,NA,NA
