Team,Year,Conference,Games,Wins,Win_Percentage,O_Efficiency,D_Efficiency,Power_Rating,EFG_O,EFG_D,Turnover_Rate,Steal_Rate,Offensive_Rebound_Rate,Opp_Offensive_Rebound_Rate,Free_Throw_Rate,Opp_Free_Throw_Rate,2_Pt_Percentage,Opp_2_Pt_Percentage,3_Pt_Percentage,Opp_3_Pt_Percentage,Wins_Above_Bubble,Elimination_Round,Seed,Round.of.64,X64WL,X64PD,Round.of.32,X32WL,X32PD,Sweet.16,X16WL,X16PD,Elite.8,X8WL,X8PD,Final.4,X4WL,X4PD,Championship,X2WL
Butler,2015,BE,34,23,0.676470588,108.5,88.6,0.9115,48.4,46.7,17,19.5,34.7,25.3,40.8,33.4,46.3,47.1,35.6,30.7,3.5,R32,6,Texas,1,8,Notre Dame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butler,2016,BE,33,22,0.666666667,118.2,98.6,0.8899,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,2,R32,9,Texas Tech,1,10,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butler,2017,BE,34,25,0.735294118,117.7,96.9,0.9038,54.6,50.8,15,19.6,27.2,27,37.1,37,54.5,51.3,36.6,33.3,5.5,S16,4,Winthrop,1,12,Middle Tennessee,1,9,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Butler,2018,BE,35,21,0.6,116.1,95.3,0.9068,54,51.9,15.7,19.5,27.6,24.6,26.1,35.3,54.3,49.5,35.7,37.3,1.7,R32,10,Arkansas,1,17,Purdue,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BYU,2014,WCC,34,22,0.647058824,113.8,100.5,0.8078,50.6,49.1,15.3,16.6,34.9,28.6,47.6,36.8,49.2,48.2,36.9,33.7,0.6,R64,10,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal Poly,2014,BW,32,12,0.375,102,104.4,0.4356,46,49.3,14.7,18.1,30.9,33.2,33.2,42.9,44.2,48.6,33,33.8,-10.7,R64,16,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Bakersfield,2016,WAC,30,21,0.7,103.4,95.7,0.7106,49.3,45.2,18.2,21.5,34.1,29.7,38,42.1,48.5,42.8,34.3,33.4,-3.5,R64,15,Oklahoma,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cal St. Fullerton,2018,BW,30,20,0.666666667,101.6,102.5,0.476,51.6,48.2,20.7,18.2,26,28.9,45.6,35.2,52,45,33.8,36.4,-5.5,R64,15,Purdue,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,2013,P12,33,21,0.636363636,105.4,92.3,0.8211,48,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,0.5,R32,12,UNLV,1,3,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,2016,P12,34,23,0.676470588,112.4,92.8,0.9006,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,2.2,R64,4,Hawaii,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chattanooga,2016,SC,33,27,0.818181818,105.6,100.8,0.6286,51.7,50.5,18,20.2,32.3,29,41.6,30.9,50.7,50.5,35.6,33.7,0.4,R64,12,Indiana,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2013,BE,34,22,0.647058824,104.5,88.3,0.873,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,1.7,R64,10,Creighton,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2014,Amer,34,27,0.794117647,108.7,91.5,0.8783,47.7,44.8,17.4,22.4,39.1,32.3,38.7,36,46.6,43.2,33.5,32,5.3,R64,5,Harvard,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2015,Amer,34,23,0.676470588,106.5,92.3,0.838,49.5,44.1,21,19.9,37.3,32.3,37.1,26.1,49.6,42.2,32.9,31.9,-1.3,R32,8,Purdue,1,1,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2016,Amer,33,22,0.666666667,110,93.5,0.866,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27,47.7,41.3,34.8,35.7,0.3,R64,9,Saint Josephs,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2017,Amer,36,30,0.833333333,115.2,92.1,0.9292,52,45.2,15.3,20.2,35.5,29.4,32.5,29.1,52.1,41.4,34.5,34.4,5.6,R32,6,Kansas St.,1,14,UCLA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2018,Amer,36,31,0.861111111,111.6,87.7,0.9417,51.2,43.3,17,21.6,38.5,28.2,36,26.8,50.2,41.4,35.3,30.9,5.9,R32,2,Georgia St.,1,15,Nevada,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cincinnati,2019,Amer,35,28,0.8,112.3,93.8,0.8871,49,48.6,16,20.9,37.4,29.3,37.6,30.5,47.6,45.1,34.5,35.5,5.8,R64,7,Iowa,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clemson,2018,ACC,35,25,0.714285714,112.5,93.1,0.8984,52.9,47.2,17.4,17.4,27.2,26.3,33.5,27.2,51.6,43.9,36.6,35.2,3.9,S16,5,New Mexico St.,1,11,Auburn,1,31,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coastal Carolina,2014,BSth,31,18,0.580645161,98.3,102,0.3946,48,47.5,20.2,18.3,34.2,29.3,38.6,39.6,47.6,46.7,32.6,32.4,-7.7,R64,16,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coastal Carolina,2015,BSth,30,20,0.666666667,104.5,103,0.5417,50,47.7,17.5,16.9,34.8,28,38.9,35,48.1,45.8,35.9,33.8,-5.1,R64,16,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colgate,2019,Pat,34,24,0.705882353,109.1,105.5,0.5961,55.9,50.7,19.3,17.8,30.2,27.1,28.4,28.2,53.5,50.5,39.5,33.9,-4.4,R64,15,Tennessee,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
College of Charleston,2018,CAA,32,26,0.8125,106.8,104.3,0.5685,52.7,49.9,15.1,17.8,25.5,27.9,36.6,32.1,52,48.7,35.9,34.6,-2.1,R64,13,Auburn,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado St.,2013,MWC,33,24,0.727272727,116.6,98.4,0.8759,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,48.4,47.1,34.1,34.1,1.9,R32,8,Missouri,1,12,Louisville,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2013,P12,33,21,0.636363636,104.9,90.2,0.8513,48.3,45.9,20,19.4,33.6,30.4,40.9,25.3,47,44.7,34.4,32,1.4,R64,10,Illinois,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2014,P12,35,23,0.657142857,106.9,96,0.774,48.3,49.4,19.7,17.8,34,26.1,48.3,30.2,48.6,47.3,31.8,35.6,2.4,R64,8,Pittsburgh,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2016,P12,33,21,0.636363636,107.8,95.2,0.8072,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,0.7,R64,8,Connecticut,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,2014,Amer,40,32,0.8,112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33,4.7,Champions,7,Saint Joseph's,1,8,Villanova,1,12,Iowa St.,1,5,Michigan St.,1,6,Florida,1,10,Kentucky,1
Connecticut,2016,Amer,36,25,0.694444444,110.5,93.4,0.8732,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42,36.5,32.6,1.2,R32,9,Colorado,1,7,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creighton,2013,MVC,36,28,0.777777778,116.4,95,0.9117,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,3.5,R32,7,Cincinnati,1,4,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creighton,2014,BE,35,27,0.771428571,125.2,101.9,0.9144,58.9,48.5,15,14.8,27.7,27.8,33.9,33,56.3,47,41.4,34.2,5.6,R32,3,Louisiana Lafayette,1,10,Baylor,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creighton,2017,BE,34,25,0.735294118,114.5,95.2,0.8931,57.6,49.9,17.1,19.3,24.2,29.6,27.9,29.3,56.4,50.2,39.8,33,4.3,R64,6,Rhode Island,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creighton,2018,BE,32,21,0.65625,116.2,97.4,0.8836,57.4,50.1,15.6,15.8,22.5,24.6,26.5,24.8,58.7,50,37.2,33.6,2,R64,8,Kansas St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davidson,2013,SC,33,25,0.757575758,110.6,98.3,0.7959,53.1,45.3,17,18.8,29,28.5,38.9,36.4,52,44.3,36.6,32.1,-1.4,R64,14,Marquette,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davidson,2015,A10,31,23,0.741935484,118.3,102.2,0.8435,55.4,49.3,14.1,17,29.6,30.4,28.5,34.6,53.1,51.4,38.7,30,1.7,R64,10,Iowa,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davidson,2018,A10,33,21,0.636363636,117,102.3,0.823,57.4,51.2,14.5,16.2,22.6,23.4,24.6,29.6,56.5,50.3,38.9,35,-2.9,R64,12,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dayton,2014,A10,37,26,0.702702703,113,99.1,0.8188,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,50.4,48.3,37.7,33.2,0.6,E8,11,Ohio St.,1,1,Syracuse,1,2,Stanford,1,10,Florida,0,NA,NA,NA,NA,NA,NA
Dayton,2015,A10,36,27,0.75,107,94.5,0.8059,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,0.8,R32,11,Providence,1,13,Oklahoma,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dayton,2016,A10,33,25,0.7575758,105.5,92.6,0.8184,51.6,46.9,18.6,18,28.7,24.2,40.8,32.8,51.5,43.7,34.4,34.9,2.4,R64,7,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dayton,2017,A10,31,24,0.7741935,111.6,97,0.833,53.6,47.7,16.9,20.9,25.6,27.4,43.4,35.2,51,47.2,38.4,32.3,1.5,R64,7,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,2014,CAA,35,25,0.714285714,110.7,106,0.6237,50.4,49.4,13.4,16.8,29.1,32.8,43.9,38,49.5,49.6,34.7,32.7,-1.4,R64,13,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duke,2013,ACC,36,30,0.833333333,118.4,91.5,0.9507,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29,7.5,E8,2,Albany,1,12,Creighton,1,16,Michigan St.,1,10,Louisville,0,NA,NA,NA,NA,NA,NA
Duke,2014,ACC,35,26,0.742857143,125.9,98.6,0.9432,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,50.3,50.3,39.5,30.7,6.5,R64,3,Mercer,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duke,2015,ACC,39,35,0.897435897,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,10.7,Champions,1,Robert Morris,1,29,San Diego St.,1,19,Utah,1,6,Gonzaga,1,14,Michigan St.,1,20,Wisconsin,1
Duke,2016,ACC,36,25,0.694444444,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51,48.9,38.5,34,4.2,S16,4,UNC Wilmington,1,8,Yale,1,7,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duke,2017,ACC,37,28,0.756756757,122.1,95.6,0.9436,54.8,47.4,16.3,17.3,31.7,29.8,39.3,31.2,53.5,48.9,37.9,29.3,8.6,R32,2,Troy,1,22,South Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duke,2018,ACC,37,29,0.783783784,122.3,92.9,0.9592,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,6.6,E8,2,Iona,1,22,Rhode Island,1,25,Syracuse,1,4,Kansas,0,NA,NA,NA,NA,NA,NA
Duke,2019,ACC,38,32,0.842105263,118.9,89.2,0.9646,53.6,45,17.5,19.4,35.6,29.5,33.2,24,58,45,30.8,29.9,11.2,E8,1,North Dakota St. ,1,32,UCF,1,1,Virginia Tech,1,2,Michigan St.,0,NA ,NA ,NA ,NA ,NA ,NA 
East Tennessee St.,2017,SC,33,27,0.818181818,107.3,97.1,0.7595,55.8,48.7,20.8,22,30.1,27.4,42.8,38.2,55,45.7,38.2,35.4,-0.7,R64,13,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Kentucky,2014,OVC,32,22,0.6875,112.1,107.5,0.6177,56.7,55.7,15.8,24.2,23,34,43.2,54.9,55.7,56.7,38.6,35.8,-3.3,R64,15,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Washington,2015,BSky,32,23,0.71875,110.1,107.6,0.5648,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36,52.2,49.2,39.3,38.7,-2.6,R64,13,Georgetown,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fairleigh Dickinson,2019,NEC,33,21,0.636363636,104.5,110.3,0.3494,54.2,52,19.7,20.2,29.5,33.2,35.7,29.4,51,51.3,40.1,35.3,-9.3,R64,16,Gonzaga,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Florida Gulf Coast,2013,ASun,35,24,0.685714286,103.4,96.3,0.6952,51.6,46.9,21,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,-4,S16,15,Georgetown,1,10,San Diego St.,1,10,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida Gulf Coast,2016,ASun,31,17,0.548387097,102.9,102.4,0.5136,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,-8.4,R64,16,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida Gulf Coast,2017,ASun,31,26,0.838709677,107.8,103.4,0.6169,53.9,49.3,17.9,17.4,33.8,29.6,33.8,35.9,55.4,51,33.7,31,-1.7,R64,14,Florida St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida St.,2017,ACC,35,26,0.742857143,115.4,95.2,0.9014,53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,54.4,45.4,34.7,34.9,5.9,R32,3,Florida Gulf Coast,1,6,Xavier,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida St.,2018,ACC,35,23,0.657142857,113.2,96.4,0.8631,53.2,48.4,17.8,19.4,32.3,29.8,37,32.4,53.6,45.4,35,35.5,0.9,E8,9,Missouri,1,13,Xavier,1,5,Gonzaga,1,15,Michigan,0,NA,NA,NA,NA,NA,NA
Florida St.,2019,ACC,37,29,0.783783784,111.7,90.9,0.9146,50.5,47.2,18.9,20.3,32.8,27,35.8,35.7,50.9,45.3,33.2,33.5,7.6,S16,4,Vermont,1,7,Murray St.,1,28,Gonzaga,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Florida,2013,SEC,37,29,0.783783784,115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31,29.9,54.3,41.8,37.8,31,4.1,E8,3,Northwestern St.,1,32,Minnesota,1,14,Florida Gulf Coast,1,10,Michigan,0,NA,NA,NA,NA,NA,NA
Florida,2014,SEC,39,36,0.923076923,115.9,88.4,0.9575,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,11.7,F4,1,Albany,1,12,Pittsburgh,1,16,UCLA,1,11,Dayton,1,10,Connecticut,0,NA,NA,NA
Florida,2017,SEC,36,27,0.75,116.6,88.9,0.9576,51.6,45.8,16.9,21,32.1,29.5,40.2,34,50.3,45.7,35.9,30.5,6.4,E8,4,East Tennessee St.,1,15,Virginia,1,16,Wisconsin,1,1,South Carolina,0,NA,NA,NA,NA,NA,NA
Florida,2018,SEC,34,21,0.617647059,115.2,93.9,0.9132,50.8,48.7,14.3,20,28.7,30.5,32.6,32.4,47.6,46.6,37,35.2,1.4,R32,6,St. Bonaventure,1,15,Texas Tech,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2019,SEC,36,20,0.555555556,110.3,91.6,0.8947,49.8,48.1,17.9,22.4,30.6,32.2,29.9,33.6,49.5,48.5,33.4,31.6,0.7,R32,10,Nevada,1,9,Michigan,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Fresno St.,2016,MWC,33,23,0.696969697,106.3,100.1,0.6646,48.4,48.8,15.1,21,30,29.7,37.7,46.4,47,48.4,34.4,33,-0.9,R64,14,Utah,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gardner Webb,2019,BSth,32,23,0.71875,106,106.6,0.4852,54.8,50.5,17.1,18.2,22.4,31.3,38.3,27.6,53.6,50.4,37.7,33.7,-5,R64,16,Virginia,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
George Washington,2014,A10,33,24,0.727272727,110.2,96.8,0.8151,51.5,47.2,19,19.6,35.1,31.4,46.6,33.4,50.2,47.4,36.4,31.2,3.2,R64,11,Memphis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgetown,2013,BE,32,25,0.78125,107.6,85,0.9381,51.1,43,20.1,22.4,30.4,31,36.8,35.3,50.2,41.4,35.3,30.7,6.6,R64,2,Florida Gulf Coast,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgetown,2015,BE,33,22,0.666666667,112.6,93.5,0.8945,51.3,47.1,19.2,20.2,34.3,31,43.9,44.1,50.5,43.1,35.3,36.2,3.7,R32,4,Eastern Washington,1,Utah,North Carolina St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia St.,2015,SB,34,24,0.705882353,109.5,98,0.7802,52,45.8,16.3,23.2,30,34.8,37.7,39.8,53.4,43.1,32.2,33.1,-3,R32,14,Baylor,1,1,Xavier,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia St.,2018,SB,33,24,0.7272727,108.8,101.5,0.6894,53.9,47.1,16.7,20.6,25.6,33.4,30.9,38.6,50.9,44,38.7,33.8,-5.1,R64,15,Cincinnati,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia St.,2019,SB,33,24,0.7272727,106.4,101.1,0.6418,53.7,50.3,16.4,21,23,33.8,35.4,30.9,51.2,51.2,38.1,32.8,-1.3,R64,14,Houston,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2015,SEC,33,21,0.636363636,107.6,92.6,0.8482,48.5,44.4,19.2,16.7,32.2,28.5,47.7,34.3,47.2,43.2,34.2,31.2,1.6,R64,10,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga,2013,WCC,34,31,0.911764706,118.9,90.2,0.9599,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,55,42.1,36.5,32.9,7.6,R32,1,Southern,1,6,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga,2014,WCC,35,28,0.8,113.6,93.3,0.9064,55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,53.6,43.3,39,31.8,4,R32,8,Oklahoma St.,1,8,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga,2015,WCC,37,34,0.918918919,120.2,93.1,0.9498,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,7.8,E8,2,North Dakota St.,1,10,Iowa,1,19,UCLA,1,12,Duke,0,NA,NA,NA,NA,NA,NA
Gonzaga,2016,WCC,35,27,0.771428571,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,54.3,44.4,37.8,30.3,2.1,S16,11,Seton Hall,1,16,Utah,1,23,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga,2017,WCC,39,37,0.948717949,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,7.7,2ND,1,South Dakota St.,1,20,Northwestern,1,6,West Virginia,1,3,Xavier,1,24,South Carolina,1,4,North Carolina,0
Gonzaga,2018,WCC,37,32,0.864864865,117.2,94.9,0.9192,57,47.1,16.1,17.4,33,23.1,32.1,29.1,58.2,44.1,36.8,35,4.9,S16,4,UNC Greensboro,1,4,Ohio St.,1,6,Florida St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga,2019,WCC,37,33,0.891891892,123.4,89.9,0.9744,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,7,E8,1,Fairleigh Dickinson,1,38,Baylor,1,12,Florida St.,1,14,Texas Tech,0,NA ,NA ,NA ,NA ,NA ,NA 
Green Bay,2016,Horz,34,21,0.617647059,106.9,104.2,0.5729,49.8,51.5,15.8,21.1,30.9,32,42.2,35.8,48.5,50,35,36.3,-4.5,R64,14,Texas A&M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hampton,2015,MEAC,35,17,0.485714286,94.8,102.3,0.2939,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,45.6,44.5,30.4,33.9,-12.6,R64,16,Kentucky,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hampton,2016,MEAC,31,20,0.64516129,98.2,107.5,0.2615,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,47.3,47.5,30.5,33.8,-6.3,R64,16,Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harvard,2013,Ivy,29,19,0.655172414,104.9,99.9,0.6362,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,51.5,48.9,39.8,33.3,-2.6,R32,14,New Mexico,1,6,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harvard,2014,Ivy,31,26,0.838709677,111.9,95.2,0.8641,52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,49.7,44.9,38.6,32.7,2.2,R32,12,Cincinnati,1,4,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harvard,2015,Ivy,28,20,0.714285714,102.4,94.9,0.7057,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34,-1.3,R64,13,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hawaii,2016,BW,32,26,0.8125,106.9,95,0.7945,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30,0.8,R32,13,California,1,11,Maryland,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holy Cross,2016,Pat,35,15,0.428571429,96.7,106.9,0.2398,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,47.2,52.8,32.6,35.7,-14.5,R64,16,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston,2018,Amer,35,27,0.771428571,114.8,93.9,0.9097,53.3,45.5,17.5,19.1,33.8,25.8,32.6,41.6,50.5,43.8,38.7,32.3,2.4,R32,6,San Diego St.,1,2,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston,2019,Amer,37,33,0.891891892,115.7,90.5,0.9439,52.1,42.5,16.5,18.2,34.4,26,31.6,37.3,51.3,43,35.5,27.9,7.8,S16,3,Georgia St.,1,29,Ohio St.,1,15,Kentucky,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Illinois,2013,B10,34,21,0.617647059,109.8,92.7,0.8749,47.5,48.7,17.6,21.7,33.6,33,31,36,47.4,47.4,31.7,34.1,2.4,R32,7,Colorado,1,8,Miami FL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2013,B10,36,29,0.805555556,121,89.7,0.9692,54.7,44,19.3,20.9,39,31.4,45.8,27,52,43.2,40.3,30.4,7.8,S16,1,James Madison,1,21,Temple,1,6,Syracuse,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2015,B10,34,20,0.588235294,119.5,103,0.8473,54.4,50.3,17.2,15.9,35.3,31.5,32.7,32.8,50.2,50.9,40.6,32.5,-0.3,R64,10,Wichita St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,2016,B10,35,27,0.771428571,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49,41.6,34.3,3.2,S16,5,Chattanooga,1,25,Kentucky,1,6,North Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iona,2013,MAAC,34,20,0.588235294,112.8,105,0.6956,52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,50.4,49.1,36.7,37.5,-5.9,R64,15,Ohio St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
