Team,Year,Conference,Games,Wins,Win_Percentage,O_Efficiency,D_Efficiency,Power_Rating,EFG_O,EFG_D,Turnover_Rate,Steal_Rate,Offensive_Rebound_Rate,Opp_Offensive_Rebound_Rate,Free_Throw_Rate,Opp_Free_Throw_Rate,2_Pt_Percentage,Opp_2_Pt_Percentage,3_Pt_Percentage,Opp_3_Pt_Percentage,Wins_Above_Bubble,Elimination_Round,Seed,Round.of.64,X64WL,X64PD,Round.of.32,X32WL,X32PD,Sweet.16,X16WL,X16PD,Elite.8,X8WL,X8PD,Final.4,X4WL,X4PD,Championship,X2WL
Winthrop,2017,BSth,31,26,0.838709677,105.3,101.3,0.6106,53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,50.9,45.9,37.9,32.1,-1.8,R64,13,Butler,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2013,B10,35,23,0.657142857,107.2,84.3,0.9406,48.6,43,15.7,18,32.6,26.9,29.7,25.7,48,42.8,33,28.9,4.6,R64,5,Mississippi,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2014,B10,38,30,0.789473684,122.7,95.9,0.9441,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,51.3,45.9,37.6,34.1,7.9,F4,2,American,1,40,Oregon,1,8,Baylor,1,17,Arizona,1,1,Kentucky,0,NA,NA,NA
Wisconsin,2015,B10,40,36,0.9,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,11.3,2ND,1,Coastal Carolina,1,14,Oregon,1,7,North Carolina,1,7,Arizona,1,7,Kentucky,1,7,Duke,0
Wisconsin,2016,B10,35,22,0.628571429,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,0.4,S16,7,Pittsburgh,1,4,Xavier,1,3,Notre Dame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2017,B10,37,27,0.72972973,114.5,92,0.9255,52.1,47.5,17,19.5,35.9,25.9,32.9,28,51.1,43.1,35.9,37.6,5.1,S16,8,Virginia Tech,1,10,Villanova,1,3,Florida,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,2019,B10,34,23,0.676470588,108.2,88.6,0.9089,51.1,45.2,14.6,17.2,24.5,26.5,27.3,25.8,49.7,44.1,35.9,31.5,6.3,R64,5,Oregon ,0,NA,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Wofford,2014,SC,30,17,0.566666667,99.7,102.2,0.4275,48.8,49.5,16.4,19.7,30.9,29,33,39.4,47.4,49.6,34.6,32.9,-6.5,R64,15,Michigan,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wofford,2015,SC,33,26,0.787878788,102.3,96.8,0.6547,51.1,47,17.2,20,29.4,27.7,37.6,36.4,49.1,47.3,36.8,30.9,0.2,R64,12,Arkansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wofford,2019,SC,32,30,0.9375,116.4,97.1,0.8892,57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,53.9,50.6,41.4,32.6,4,R32,7,Seton Hall,1,16,Kentucky,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
Wright St.,2018,Horz,33,25,0.757575758,99.4,97.2,0.5638,48.6,48.3,18.6,21,28.7,25.3,35.3,29.9,47.7,45.8,33.5,34.7,-3.5,R64,14,Tennessee,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,2015,MWC,33,23,0.696969697,102.1,98.2,0.6121,52.2,47,18.8,17.9,22,27,40.4,27,54.4,44,32.6,34.9,-1.6,R64,12,Northern Iowa,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier,2015,BE,37,23,0.621621622,115.7,95.1,0.9049,53.3,50,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,1.3,S16,6,Mississippi,1,19,Georgia St.,1,8,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier,2016,BE,34,28,0.823529412,117,94.3,0.9229,51.4,47.8,17.4,19.3,35.2,26,41.7,33.6,49.8,48.6,36.3,31.1,7.7,R32,2,Weber St.,1,18,Wisconsin,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier,2017,BE,38,24,0.631578947,115.6,97.9,0.8713,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52,52.5,34.5,33.4,1.6,E8,11,Maryland,1,12,Florida St.,1,25,Arizona,1,2,Gonzaga,0,NA,NA,NA,NA,NA,NA
Xavier,2018,BE,35,29,0.828571429,120.9,97.7,0.9211,55.9,49.9,17.2,15.7,30.2,23.1,41,25.6,55.9,49.8,37.2,33.4,8.8,R32,1,Texas Southern,1,19,Florida St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yale,2016,Ivy,29,22,0.75862069,109.1,95.6,0.8209,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36,32.7,-0.1,R32,12,Baylor,1,4,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yale,2019,Ivy,29,22,0.75862069,110.5,102.5,0.7034,55.6,47.3,17.8,15.2,26.3,24.6,30.1,31.1,56,47.8,36.5,31,-0.9,R64,14,LSU,0,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA ,NA 
